station_index,station,longitude,latitude,history_distance,future_distance,spearman_distance_rho
121,Jinzhong,112.73200000000001,37.707233333333335,past_72h,future_72h,0.21186566487450642
121,Jinzhong,112.73200000000001,37.707233333333335,past_recent_24h,future_day1,0.43539651894344306
121,Jinzhong,112.73200000000001,37.707233333333335,past_recent_24h,future_day3,0.10267290730766518
121,Jinzhong,112.73200000000001,37.707233333333335,past_recent_24h,future_72h,0.293914805938369
122,Yuncheng,111.007025,35.055324999999996,past_72h,future_day1,0.2514983849437416
122,Yuncheng,111.007025,35.055324999999996,past_72h,future_day3,0.04541635312261651
122,Yuncheng,111.007025,35.055324999999996,past_72h,future_72h,0.15808437882950063
122,Yuncheng,111.007025,35.055324999999996,past_recent_24h,future_day1,0.4206357816057251
122,Yuncheng,111.007025,35.055324999999996,past_recent_24h,future_day3,0.037521047667367635
122,Yuncheng,111.007025,35.055324999999996,past_recent_24h,future_72h,0.2549249902919985
123,Xinzhou,112.72473333333335,38.454433333333334,past_72h,future_day1,0.2816670141547223
123,Xinzhou,112.72473333333335,38.454433333333334,past_72h,future_day3,0.05134980226396837
123,Xinzhou,112.72473333333335,38.454433333333334,past_72h,future_72h,0.1837601205376193
123,Xinzhou,112.72473333333335,38.454433333333334,past_recent_24h,future_day1,0.4408837239173959
123,Xinzhou,112.72473333333335,38.454433333333334,past_recent_24h,future_day3,0.05147585489213679
123,Xinzhou,112.72473333333335,38.454433333333334,past_recent_24h,future_72h,0.2514990354398457
124,Lu:liang,111.1406,37.5211,past_72h,future_day1,0.26156494578639133
124,Lu:liang,111.1406,37.5211,past_72h,future_day3,0.04552608958817434
124,Lu:liang,111.1406,37.5211,past_72h,future_72h,0.1781654761864762
124,Lu:liang,111.1406,37.5211,past_recent_24h,future_day1,0.45532748533239775
124,Lu:liang,111.1406,37.5211,past_recent_24h,future_day3,0.04435074527211925
124,Lu:liang,111.1406,37.5211,past_recent_24h,future_72h,0.27845066496810644
125,Wuhai,106.80796666666667,39.675333333333334,past_72h,future_day1,0.28897717417234786
125,Wuhai,106.80796666666667,39.675333333333334,past_72h,future_day3,0.07857037007525922
125,Wuhai,106.80796666666667,39.675333333333334,past_72h,future_72h,0.20990946257751403
125,Wuhai,106.80796666666667,39.675333333333334,past_recent_24h,future_day1,0.4442253792360607
125,Wuhai,106.80796666666667,39.675333333333334,past_recent_24h,future_day3,0.09461403702624592
125,Wuhai,106.80796666666667,39.675333333333334,past_recent_24h,future_72h,0.30291256481801043
126,Bayannaoer,107.50735,40.8384,past_72h,future_day1,0.3113451439592231
126,Bayannaoer,107.50735,40.8384,past_72h,future_day3,0.07735926306548209
126,Bayannaoer,107.50735,40.8384,past_72h,future_72h,0.22123317357330782
126,Bayannaoer,107.50735,40.8384,past_recent_24h,future_day1,0.42572845800455333
126,Bayannaoer,107.50735,40.8384,past_recent_24h,future_day3,0.09430545611287297
126,Bayannaoer,107.50735,40.8384,past_recent_24h,future_72h,0.29402138822742213
127,Wulanchabu,113.1306,40.9923,past_72h,future_day1,0.24041187078589935
127,Wulanchabu,113.1306,40.9923,past_72h,future_day3,0.08693445358951259
127,Wulanchabu,113.1306,40.9923,past_72h,future_72h,0.17705795703327315
127,Wulanchabu,113.1306,40.9923,past_recent_24h,future_day1,0.3978713233074118
127,Wulanchabu,113.1306,40.9923,past_recent_24h,future_day3,0.06662066217930594
127,Wulanchabu,113.1306,40.9923,past_recent_24h,future_72h,0.23926643930663033
128,Alashanmeng,105.69966666666666,38.84296666666666,past_72h,future_day1,0.2723979338876694
128,Alashanmeng,105.69966666666666,38.84296666666666,past_72h,future_day3,0.07915104882416782
128,Alashanmeng,105.69966666666666,38.84296666666666,past_72h,future_72h,0.19838559769369565
128,Alashanmeng,105.69966666666666,38.84296666666666,past_recent_24h,future_day1,0.4272645949543352
128,Alashanmeng,105.69966666666666,38.84296666666666,past_recent_24h,future_day3,0.09113117566898811
128,Alashanmeng,105.69966666666666,38.84296666666666,past_recent_24h,future_72h,0.2882393741182999
129,Chaoyang,120.42083333333335,41.59093333333334,past_72h,future_day1,0.2766831234372998
129,Chaoyang,120.42083333333335,41.59093333333334,past_72h,future_day3,0.09267848625255781
129,Chaoyang,120.42083333333335,41.59093333333334,past_72h,future_72h,0.188895237391238
129,Chaoyang,120.42083333333335,41.59093333333334,past_recent_24h,future_day1,0.36816207183393146
129,Chaoyang,120.42083333333335,41.59093333333334,past_recent_24h,future_day3,0.11046030874564941
129,Chaoyang,120.42083333333335,41.59093333333334,past_recent_24h,future_72h,0.250691980974717
130,Bangbu,117.35681666666669,32.929249999999996,past_72h,future_day1,0.3101606097536976
130,Bangbu,117.35681666666669,32.929249999999996,past_72h,future_day3,0.06777189666750347
130,Bangbu,117.35681666666669,32.929249999999996,past_72h,future_72h,0.18339980713596915
130,Bangbu,117.35681666666669,32.929249999999996,past_recent_24h,future_day1,0.4987704536912727
130,Bangbu,117.35681666666669,32.929249999999996,past_recent_24h,future_day3,0.10606254266600684
130,Bangbu,117.35681666666669,32.929249999999996,past_recent_24h,future_72h,0.3068936915989907
131,Huainan,116.8364,32.66645,past_72h,future_day1,0.3295849003495841
131,Huainan,116.8364,32.66645,past_72h,future_day3,0.0791406355105017
131,Huainan,116.8364,32.66645,past_72h,future_72h,0.20916827257092363
131,Huainan,116.8364,32.66645,past_recent_24h,future_day1,0.5067209637633542
131,Huainan,116.8364,32.66645,past_recent_24h,future_day3,0.1208046298887408
131,Huainan,116.8364,32.66645,past_recent_24h,future_72h,0.32850670958507355
132,Huaibei,116.7973,33.940266666666666,past_72h,future_day1,0.26681951200312193
132,Huaibei,116.7973,33.940266666666666,past_72h,future_day3,0.0404730681076909
132,Huaibei,116.7973,33.940266666666666,past_72h,future_72h,0.14594068639050983
132,Huaibei,116.7973,33.940266666666666,past_recent_24h,future_day1,0.4760298878767821
132,Huaibei,116.7973,33.940266666666666,past_recent_24h,future_day3,0.05009268897483024
132,Huaibei,116.7973,33.940266666666666,past_recent_24h,future_72h,0.2628017953922873
133,Tongling,117.80895,30.929616666666664,past_72h,future_day1,0.3340625968100155
133,Tongling,117.80895,30.929616666666664,past_72h,future_day3,0.08250414350466298
133,Tongling,117.80895,30.929616666666664,past_72h,future_72h,0.22586023530563767
133,Tongling,117.80895,30.929616666666664,past_recent_24h,future_day1,0.49185053220008523
133,Tongling,117.80895,30.929616666666664,past_recent_24h,future_day3,0.11147155140344824
133,Tongling,117.80895,30.929616666666664,past_recent_24h,future_72h,0.31637339973974404
134,Anqing,117.02473333333334,30.546900000000004,past_72h,future_day1,0.34797805170848833
134,Anqing,117.02473333333334,30.546900000000004,past_72h,future_day3,0.08766679777068766
134,Anqing,117.02473333333334,30.546900000000004,past_72h,future_72h,0.2366937786710046
134,Anqing,117.02473333333334,30.546900000000004,past_recent_24h,future_day1,0.5104573404251745
134,Anqing,117.02473333333334,30.546900000000004,past_recent_24h,future_day3,0.11877218207554915
134,Anqing,117.02473333333334,30.546900000000004,past_recent_24h,future_72h,0.3437655556744889
135,Huangshan,118.25546666666666,29.903033333333337,past_72h,future_day1,0.31475961336953817
135,Huangshan,118.25546666666666,29.903033333333337,past_72h,future_day3,0.08188463620554182
135,Huangshan,118.25546666666666,29.903033333333337,past_72h,future_72h,0.2143504517040723
135,Huangshan,118.25546666666666,29.903033333333337,past_recent_24h,future_day1,0.48198961644633875
135,Huangshan,118.25546666666666,29.903033333333337,past_recent_24h,future_day3,0.09456328143412504
135,Huangshan,118.25546666666666,29.903033333333337,past_recent_24h,future_72h,0.3092030672004908
136,Chuzhou,118.31653333333334,32.3,past_72h,future_day1,0.3384904339344694
136,Chuzhou,118.31653333333334,32.3,past_72h,future_day3,0.06554562712730035
136,Chuzhou,118.31653333333334,32.3,past_72h,future_72h,0.2062939460950314
136,Chuzhou,118.31653333333334,32.3,past_recent_24h,future_day1,0.5078300358128058
136,Chuzhou,118.31653333333334,32.3,past_recent_24h,future_day3,0.09430879230540677
136,Chuzhou,118.31653333333334,32.3,past_recent_24h,future_72h,0.3067804530528725
137,Liuan,116.514725,31.76245,past_72h,future_day1,0.33755895576943296
137,Liuan,116.514725,31.76245,past_72h,future_day3,0.09533402638944422
137,Liuan,116.514725,31.76245,past_72h,future_72h,0.22193819461411116
137,Liuan,116.514725,31.76245,past_recent_24h,future_day1,0.4946631452581033
137,Liuan,116.514725,31.76245,past_recent_24h,future_day3,0.12025180036028807
137,Liuan,116.514725,31.76245,past_recent_24h,future_72h,0.3148874231819877
138,Chizhou,117.48355000000001,30.6578,past_72h,future_day1,0.3261860758697722
138,Chizhou,117.48355000000001,30.6578,past_72h,future_day3,0.07865848503335762
138,Chizhou,117.48355000000001,30.6578,past_72h,future_72h,0.21740140284822448
138,Chizhou,117.48355000000001,30.6578,past_recent_24h,future_day1,0.4911047426407589
138,Chizhou,117.48355000000001,30.6578,past_recent_24h,future_day3,0.10952630770020924
138,Chizhou,117.48355000000001,30.6578,past_recent_24h,future_72h,0.3193339795414368
139,Xuancheng,118.73806666666667,30.953999999999997,past_72h,future_day1,0.3322553412248546
139,Xuancheng,118.73806666666667,30.953999999999997,past_72h,future_day3,0.08913490142958423
139,Xuancheng,118.73806666666667,30.953999999999997,past_72h,future_72h,0.23147493290798932
139,Xuancheng,118.73806666666667,30.953999999999997,past_recent_24h,future_day1,0.47926370292219256
139,Xuancheng,118.73806666666667,30.953999999999997,past_recent_24h,future_day3,0.11109032228645159
139,Xuancheng,118.73806666666667,30.953999999999997,past_recent_24h,future_72h,0.30883171686907473
140,Jingdezhen,117.2242,29.304219999999997,past_72h,future_day1,0.32282082221133157
140,Jingdezhen,117.2242,29.304219999999997,past_72h,future_day3,0.05674549771927964
140,Jingdezhen,117.2242,29.304219999999997,past_72h,future_72h,0.20607590087614416
140,Jingdezhen,117.2242,29.304219999999997,past_recent_24h,future_day1,0.4867110162417627
140,Jingdezhen,117.2242,29.304219999999997,past_recent_24h,future_day3,0.07004822829571652
140,Jingdezhen,117.2242,29.304219999999997,past_recent_24h,future_72h,0.3015202612352418
141,Yingtan,117.01343999999999,28.20856,past_72h,future_day1,0.3481027012004322
141,Yingtan,117.01343999999999,28.20856,past_72h,future_day3,0.04555668671306987
141,Yingtan,117.01343999999999,28.20856,past_72h,future_72h,0.2252614348258296
141,Yingtan,117.01343999999999,28.20856,past_recent_24h,future_day1,0.5246549163287867
141,Yingtan,117.01343999999999,28.20856,past_recent_24h,future_day3,0.07609040782246525
141,Yingtan,117.01343999999999,28.20856,past_recent_24h,future_72h,0.3409166661306666
142,Shangrao,117.9583,28.448825,past_72h,future_day1,0.33785882986541277
142,Shangrao,117.9583,28.448825,past_72h,future_day3,0.05093161698105872
142,Shangrao,117.9583,28.448825,past_72h,future_72h,0.21000905376144863
142,Shangrao,117.9583,28.448825,past_recent_24h,future_day1,0.5206314504690323
142,Shangrao,117.9583,28.448825,past_recent_24h,future_day3,0.06636210188193631
142,Shangrao,117.9583,28.448825,past_recent_24h,future_72h,0.3154021268803403
143,Hebi,114.25113333333333,35.794533333333334,past_72h,future_day1,0.24211700385872062
143,Hebi,114.25113333333333,35.794533333333334,past_72h,future_day3,0.055408023969283834
143,Hebi,114.25113333333333,35.794533333333334,past_72h,future_72h,0.14202279750764762
143,Hebi,114.25113333333333,35.794533333333334,past_recent_24h,future_day1,0.38735591400894626
143,Hebi,114.25113333333333,35.794533333333334,past_recent_24h,future_day3,0.04625534717685556
143,Hebi,114.25113333333333,35.794533333333334,past_recent_24h,future_72h,0.2068387592382015
144,Xinxiang,113.86766666666666,35.294999999999995,past_72h,future_day1,0.2541069856811177
144,Xinxiang,113.86766666666666,35.294999999999995,past_72h,future_day3,0.05611864757098362
144,Xinxiang,113.86766666666666,35.294999999999995,past_72h,future_72h,0.14543958320633335
144,Xinxiang,113.86766666666666,35.294999999999995,past_recent_24h,future_day1,0.4079113843058215
144,Xinxiang,113.86766666666666,35.294999999999995,past_recent_24h,future_day3,0.07698994947039192
144,Xinxiang,113.86766666666666,35.294999999999995,past_recent_24h,future_72h,0.23741076131372182
145,Puyang,115.057,35.76573333333334,past_72h,future_day1,0.23000123744019804
145,Puyang,115.057,35.76573333333334,past_72h,future_day3,0.029861876137900187
145,Puyang,115.057,35.76573333333334,past_72h,future_72h,0.11794497144719544
145,Puyang,115.057,35.76573333333334,past_recent_24h,future_day1,0.381080606508897
145,Puyang,115.057,35.76573333333334,past_recent_24h,future_day3,0.022617479970796796
145,Puyang,115.057,35.76573333333334,past_recent_24h,future_72h,0.19866707818673254
146,Xuchang,113.81184999999999,34.0035,past_72h,future_day1,0.2694236690917871
146,Xuchang,113.81184999999999,34.0035,past_72h,future_day3,0.049197317567570814
146,Xuchang,113.81184999999999,34.0035,past_72h,future_72h,0.15197891148462583
146,Xuchang,113.81184999999999,34.0035,past_recent_24h,future_day1,0.437085643821703
146,Xuchang,113.81184999999999,34.0035,past_recent_24h,future_day3,0.08968891444622631
146,Xuchang,113.81184999999999,34.0035,past_recent_24h,future_72h,0.2662809388609502
147,Luohe,114.0268,33.570325000000004,past_72h,future_day1,0.27207832065253135
147,Luohe,114.0268,33.570325000000004,past_72h,future_day3,0.024130082324813177
147,Luohe,114.0268,33.570325000000004,past_72h,future_72h,0.14509403307104532
147,Luohe,114.0268,33.570325000000004,past_recent_24h,future_day1,0.4592669703787153
147,Luohe,114.0268,33.570325000000004,past_recent_24h,future_day3,0.06710898353743737
