station_index,station,history_type,history_span,future_type,future_horizon,spearman_distance_rho
6,Baoding,pm_only,recent24,pm,day3,0.034754053188513295
6,Baoding,pm_only,recent24,weather,day3,-0.003957191489297872
6,Baoding,pm_only,recent24,joint,day3,0.00023138405784601444
6,Baoding,pm_only,recent24,pm,full72,0.24113493028373256
6,Baoding,pm_only,recent24,weather,full72,0.016749701687425424
6,Baoding,pm_only,recent24,joint,full72,0.06355343188835796
6,Baoding,weather_only,recent24,pm,day1,0.13349246587311647
6,Baoding,weather_only,recent24,weather,day1,0.39894034723508676
6,Baoding,weather_only,recent24,joint,day1,0.394225264056316
6,Baoding,weather_only,recent24,pm,day3,-0.025515850878962718
6,Baoding,weather_only,recent24,weather,day3,0.0629478172369543
6,Baoding,weather_only,recent24,joint,day3,0.05161140690285172
6,Baoding,weather_only,recent24,pm,full72,0.05660187665046915
6,Baoding,weather_only,recent24,weather,full72,0.24971305292826318
6,Baoding,weather_only,recent24,joint,full72,0.2395522228880557
6,Baoding,joint,recent24,pm,day1,0.20892946623236655
6,Baoding,joint,recent24,weather,day1,0.3813093818273454
6,Baoding,joint,recent24,joint,day1,0.3990601657650414
6,Baoding,joint,recent24,pm,day3,-0.017812915453228863
6,Baoding,joint,recent24,weather,day3,0.04981482345370586
6,Baoding,joint,recent24,joint,day3,0.04114788578697145
6,Baoding,joint,recent24,pm,full72,0.10907751176937795
6,Baoding,joint,recent24,weather,full72,0.23090733822683457
6,Baoding,joint,recent24,joint,full72,0.23437480359370091
6,Baoding,pm_only,full72,pm,day1,0.257784047946012
6,Baoding,pm_only,full72,weather,day1,0.027740237435059354
6,Baoding,pm_only,full72,joint,day1,0.0864597696149424
6,Baoding,pm_only,full72,pm,day3,0.05667758016939504
6,Baoding,pm_only,full72,weather,day3,-0.04823029505757376
6,Baoding,pm_only,full72,joint,day3,-0.03603778500944625
6,Baoding,pm_only,full72,pm,full72,0.19436765159191288
6,Baoding,pm_only,full72,weather,full72,-0.03189049247262312
6,Baoding,pm_only,full72,joint,full72,0.008607347151836788
6,Baoding,weather_only,full72,pm,day1,0.057753390938347735
6,Baoding,weather_only,full72,weather,day1,0.24528401832100455
6,Baoding,weather_only,full72,joint,day1,0.23666022816505702
6,Baoding,weather_only,full72,pm,day3,-0.03233136208284052
6,Baoding,weather_only,full72,weather,day3,0.052329400082350014
6,Baoding,weather_only,full72,joint,day3,0.036407350601837654
6,Baoding,weather_only,full72,pm,full72,-0.007276077319019329
6,Baoding,weather_only,full72,weather,full72,0.17026309106577275
6,Baoding,weather_only,full72,joint,full72,0.15189184547296136
6,Baoding,joint,full72,pm,day1,0.10878911119727779
6,Baoding,joint,full72,weather,day1,0.2316052509013127
6,Baoding,joint,full72,joint,day1,0.2375779403944851
6,Baoding,joint,full72,pm,day3,-0.018984667746166934
6,Baoding,joint,full72,weather,day3,0.03364897741224435
6,Baoding,joint,full72,joint,day3,0.023052742263185565
6,Baoding,joint,full72,pm,full72,0.0344336996084249
6,Baoding,joint,full72,weather,full72,0.14693096023274005
6,Baoding,joint,full72,joint,full72,0.1404192636048159
7,Zhangjiakou,pm_only,recent24,pm,day1,0.3402075505518876
7,Zhangjiakou,pm_only,recent24,weather,day1,0.13248827412206854
7,Zhangjiakou,pm_only,recent24,joint,day1,0.18979535344883836
7,Zhangjiakou,pm_only,recent24,pm,day3,0.005976110994027748
7,Zhangjiakou,pm_only,recent24,weather,day3,-0.006514957628739407
7,Zhangjiakou,pm_only,recent24,joint,day3,-0.008474364618591154
7,Zhangjiakou,pm_only,recent24,pm,full72,0.18092752823188207
7,Zhangjiakou,pm_only,recent24,weather,full72,0.0922256180564045
7,Zhangjiakou,pm_only,recent24,joint,full72,0.11546374536593632
7,Zhangjiakou,weather_only,recent24,pm,day1,0.13168264192066048
7,Zhangjiakou,weather_only,recent24,weather,day1,0.4243233835808459
7,Zhangjiakou,weather_only,recent24,joint,day1,0.4171569382892346
7,Zhangjiakou,weather_only,recent24,pm,day3,-0.02746542536635634
7,Zhangjiakou,weather_only,recent24,weather,day3,0.04540138585034646
7,Zhangjiakou,weather_only,recent24,joint,day3,0.036896343224085804
7,Zhangjiakou,weather_only,recent24,pm,full72,0.05681656720414179
7,Zhangjiakou,weather_only,recent24,weather,full72,0.23629040007260005
7,Zhangjiakou,weather_only,recent24,joint,full72,0.22682730270682566
7,Zhangjiakou,joint,recent24,pm,day1,0.19080631620157903
7,Zhangjiakou,joint,recent24,weather,day1,0.4188809547202386
7,Zhangjiakou,joint,recent24,joint,day1,0.4256742209185552
7,Zhangjiakou,joint,recent24,pm,day3,-0.021538010384502596
7,Zhangjiakou,joint,recent24,weather,day3,0.041649829412457345
7,Zhangjiakou,joint,recent24,joint,day3,0.03335637083909271
7,Zhangjiakou,joint,recent24,pm,full72,0.09227348456837113
7,Zhangjiakou,joint,recent24,weather,full72,0.2396980604245151
7,Zhangjiakou,joint,recent24,joint,full72,0.23616570054142516
7,Zhangjiakou,pm_only,full72,pm,day1,0.19429479207369799
7,Zhangjiakou,pm_only,full72,weather,day1,0.06222186055546513
7,Zhangjiakou,pm_only,full72,joint,day1,0.09892892773223193
7,Zhangjiakou,pm_only,full72,pm,day3,0.03557662339415585
7,Zhangjiakou,pm_only,full72,weather,day3,-0.0051667662916915725
7,Zhangjiakou,pm_only,full72,joint,day3,0.0017282389320597328
7,Zhangjiakou,pm_only,full72,pm,full72,0.14403280950820238
7,Zhangjiakou,pm_only,full72,weather,full72,0.05413360053340013
7,Zhangjiakou,pm_only,full72,joint,full72,0.07632687258171814
7,Zhangjiakou,weather_only,full72,pm,day1,0.013202292300573074
7,Zhangjiakou,weather_only,full72,weather,day1,0.23501490775372694
7,Zhangjiakou,weather_only,full72,joint,day1,0.2185830396457599
7,Zhangjiakou,weather_only,full72,pm,day3,-0.020151636537909134
7,Zhangjiakou,weather_only,full72,weather,day3,0.04362284140571035
7,Zhangjiakou,weather_only,full72,joint,day3,0.03692335823083955
7,Zhangjiakou,weather_only,full72,pm,full72,-0.023220833805208452
7,Zhangjiakou,weather_only,full72,weather,full72,0.13588599847149962
7,Zhangjiakou,weather_only,full72,joint,full72,0.11807607551901887
7,Zhangjiakou,joint,full72,pm,day1,0.04342286435571609
7,Zhangjiakou,joint,full72,weather,day1,0.23034049258512315
7,Zhangjiakou,joint,full72,joint,day1,0.22114663628665907
7,Zhangjiakou,joint,full72,pm,day3,-0.015798413449603362
7,Zhangjiakou,joint,full72,weather,day3,0.03758834139708535
7,Zhangjiakou,joint,full72,joint,day3,0.03239741909935477
7,Zhangjiakou,joint,full72,pm,full72,0.0005233306308326576
7,Zhangjiakou,joint,full72,weather,full72,0.13676712569178143
7,Zhangjiakou,joint,full72,joint,full72,0.12397467249366811
8,Chengde,pm_only,recent24,pm,day1,0.36962961240740305
8,Chengde,pm_only,recent24,weather,day1,0.1322733420683355
8,Chengde,pm_only,recent24,joint,day1,0.2052709563177391
8,Chengde,pm_only,recent24,pm,day3,0.005894518473629618
