target_index,target,lead_hour,base_adjusted_r2,aligned_neighbor_r2_gain,unweighted_neighbor_r2_gain
69,Yangquan,6,0.598764856541637,0.03131953356982309,0.0324453307527256
69,Yangquan,12,0.37807655162633336,0.032961752829902546,0.03538434358425291
69,Yangquan,24,0.19304764596159918,0.010626622607513014,0.012047889017913205
70,Jinzhou,3,0.7226599882014126,0.015109666425958679,0.008659908851924691
70,Jinzhou,6,0.48909077290438085,0.026139782260627742,0.015773300144772517
70,Jinzhou,12,0.2663302359635945,0.02085780019921979,0.00997387404794059
70,Jinzhou,24,0.10164517030088971,0.005941396341628824,0.00012071110285671871
71,Wuhu,3,0.7620800084262828,0.017413971054815458,0.009949427339975836
71,Wuhu,6,0.56950307415683,0.021265615677871108,0.012657497994066014
71,Wuhu,12,0.3778072893113721,0.006613786918496012,0.003504594747962053
71,Wuhu,24,0.2268624822168387,-0.00032516420314809835,0.0016115546392412305
72,Maanshan,3,0.8061892838111486,0.01160135768158499,0.005202966253698982
72,Maanshan,6,0.619267360101044,0.014481042878558337,0.007040344068013016
72,Maanshan,12,0.41393974128084654,0.004055043304829198,0.0015865186547165955
72,Maanshan,24,0.2526314310412777,-8.183882870760328e-05,0.0016658576220066612
73,Jiujiang,3,0.8663216130148089,0.0037200887577852892,0.0028013080918415367
73,Jiujiang,6,0.7203718617020827,0.0137924056149058,0.012024943443106118
73,Jiujiang,12,0.5204532716127288,0.02750248230682828,0.02603259949818626
73,Jiujiang,24,0.32786143082097274,0.026298233248367997,0.017650971024275153
74,Luoyang,3,0.8103616689720438,0.015080427523915585,0.01083574570837098
74,Luoyang,6,0.6298735092863761,0.030078198294315905,0.02280827925883422
74,Luoyang,12,0.4211741589907637,0.027127624915876836,0.018330042619176257
74,Luoyang,24,0.2341164630787418,0.0032526613132983773,0.001930028357663205
75,Anyang,3,0.7729742612853086,0.01655363540158661,0.006570065013766113
75,Anyang,6,0.5644906863779634,0.02437171232482449,0.010267200332482962
75,Anyang,12,0.3363779034930784,0.00832093634912201,0.004155764799369632
75,Anyang,24,0.1936610512032142,-0.0008369177641984749,-6.301444982870219e-05
76,Kaifeng,3,0.7217907398313024,0.01551861912226049,0.006571860100545779
76,Kaifeng,6,0.49645640392907675,0.026219059048997462,0.012011979201636436
76,Kaifeng,12,0.28009994805073113,0.019368337394625623,0.008224263251150332
76,Kaifeng,24,0.14032760075418604,0.006356920170198732,0.001116592942240091
77,Jiaozuo,3,0.8187756011185785,0.01483390203263213,0.009306071181144349
77,Jiaozuo,6,0.6559729269173948,0.027340002120707085,0.01682242797200506
77,Jiaozuo,12,0.45280610486768835,0.026217914110362783,0.016085447015749876
77,Jiaozuo,24,0.242847889651145,0.00919539329068364,0.004942030627769989
78,Pingdingshan,3,0.8049771816157432,0.012876989856901666,0.010775774850106612
78,Pingdingshan,6,0.6352611590772058,0.024903501354914925,0.017378294651277826
78,Pingdingshan,12,0.44119409854070013,0.011647861669218162,0.007576793677675608
78,Pingdingshan,24,0.2806033646648658,-0.004308948032116233,3.141186932453799e-06
79,Sanmenxia,3,0.7725936382381375,0.012667620303554727,0.007199724725729606
79,Sanmenxia,6,0.5859344847545496,0.029262401312135422,0.01930060448649895
79,Sanmenxia,12,0.3707486830043466,0.03619511610791748,0.02868237740005164
79,Sanmenxia,24,0.19779133335411547,0.01180682309143044,0.012237597506517428
80,Yichang,3,0.7979669209000295,0.005163863660613277,0.007928864171503625
80,Yichang,6,0.6241429349919172,0.015128599091466133,0.02161392825722197
80,Yichang,12,0.41909457861544985,0.027471631756816883,0.0359482712706104
80,Yichang,24,0.22672469652225546,0.027312158457273417,0.029608538344172097
81,Jingzhou,3,0.803750901865929,0.023226617388567905,0.01222903031796374
81,Jingzhou,6,0.6345922494484657,0.04898753925023347,0.02749186728107511
81,Jingzhou,12,0.4470170754422944,0.038216005840327916,0.023531033386239186
81,Jingzhou,24,0.3092167116976604,0.011093028215484746,0.004810501661695499
82,Yueyang,3,0.8158693855445366,0.013432944735343066,0.008859011207963619
82,Yueyang,6,0.6438303756624897,0.02977307754259595,0.021191471738573275
82,Yueyang,12,0.449082090343877,0.03342693045750744,0.02523396905553532
82,Yueyang,24,0.2771703202182252,0.013492299825392906,0.009841641622996389
83,Changde,3,0.7239047624820334,0.01605109186116971,0.008672071338722498
83,Changde,6,0.5688610411273638,0.0249536145815219,0.013138108640218915
83,Changde,12,0.3911309322693878,0.020952845427238187,0.011539514109352278
83,Changde,24,0.22942758069483338,0.006856613614681928,0.004919068557066586
84,Zhangjiajie,3,0.7084130661406628,0.02020503665596418,0.030115595123083483
84,Zhangjiajie,6,0.5899523574659797,0.027681613094412194,0.04218143761397619
